Wavelength,Albedo
0.2497748873,0.00097288029
0.2501079205,0.00096642126
0.2504413978,0.00096578088
0.2507753196,0.00096369669
0.2511096867,0.00095774266
0.2514444996,0.00094606102
0.251779759,0.00092960285
0.2521154653,0.00091544255
0.2524516193,0.00091868344
0.2527882214,0.00091947848
0.2531252724,0.00091350771
0.2534627727,0.00090714109
0.2538007231,0.00090119716
0.2541391241,0.00089823626
0.2544779762,0.000897081
0.2548172802,0.00089232221
0.2551570366,0.0008772687
0.255497246,0.00086369134
0.255837909,0.0008663009
0.2561790262,0.0008696704
0.2565205982,0.000876172
0.2568626257,0.00087307051
0.2572051092,0.00086415305
0.2575480493,0.00086219378
0.2578914467,0.00085938963
0.258235302,0.00085229102
0.2585796157,0.00083941291
0.2589243885,0.0008363757
0.259269621,0.00084621544
0.2596153139,0.00085458902
0.2599614676,0.00085482001
0.2603080829,0.00084022583
0.2606551604,0.00082918894
0.2610027006,0.00083161427
0.2613507042,0.00084087958
0.2616991718,0.00084348398
0.262048104,0.00083934338
0.2623975015,0.0008335684
0.2627473648,0.00083470065
0.2630976946,0.00084385018
0.2634484916,0.00084688629
0.2637997562,0.00084036972
0.2641514892,0.00083228442
0.2645036912,0.00082996053
0.2648563628,0.00083954915
0.2652095046,0.00084846052
0.2655631173,0.00084253639
0.2659172014,0.00084105782
0.2662717577,0.00084534433
0.2666267867,0.00084862243
0.2669822891,0.000859407
0.2673382655,0.00085780289
0.2676947165,0.00085131261
0.2680516428,0.00086011456
0.268409045,0.00087101499
0.2687669237,0.00087681736
0.2691252796,0.00088147274
0.2694841133,0.00087418558
0.2698434255,0.00086871996
0.2702032167,0.00088045863
0.2705634877,0.00089344009
0.270924239,0.00090343118
0.2712854713,0.0009090554
0.2716471853,0.00090824172
0.2720093815,0.00090802295
0.2723720607,0.00091730673
0.2727352234,0.00092416712
0.2730988704,0.00092981507
0.2734630022,0.00093944191
0.2738276196,0.00095538773
0.2741927231,0.00097353101
0.2745583134,0.0009780198
0.2749243911,0.00097352765
0.275290957,0.00098176644
0.2756580116,0.00099592689
0.2760255556,0.0010067035
0.2763935897,0.0010127531
0.2767621144,0.001028254
